n°opus,titre,nb de pages,Genre,Instruments,piano 1 voix,Durée<br>en mn,  Poème de,Poème<br>Texte,Année,Ref SACEM,Observations,date SACEM,note max,Editeur,Extrait,Partition<br>éditée,Partition<br>manuscrite,Doc,dispon,Observations,Ajouter le manuscrit sur le site,Manuscrit illisible,Refaire gravure,Ajouter Gravure Olivier
1,La cascade,"3,5",Mélodie,piano<br>soprano,1,3,Georges Audigier,cascade,1916,201720,écriture très jeune,,fa#,J. Hamelle,,1_La_Cascade_edite.pdf,,M+E,E,,M,,,
2,Chanson aux<br>éternels murmures   ,3,Mélodie,piano<br>soprano,1,3, Georges Audigier,eternelsmurmures,1924,278623,,,fa,,,,2_CHANSON_AUX_ETERNELS_manuscrit.pdf,3M+G,M,,,,,G
3,En regardant<br>passer la vie,,Mélodie<br>Musique de chambre,Soprano<br>flute<br>violon<br>violon<br>alto<br>violoncelle,1,, Georges Audigier,enregardant,,(non),"flûte, violons,violoncelle,alto",,,,,,3_EN_REGARDANT_global_manuscrit.pdf,M,M,,,,,G
4,En regardant<br>passer la vie,"2,5",Mélodie,piano<br>soprano,1,2,Georges Audigier,enregardant,1924,278622,,,fa,,,,4_EN_REGARDANT_manuscrit.pdf,M+G,M,,,,,G
5,La mouette,"2,5",Mélodie,piano<br>soprano,1,2,Georges Audigier,lamouette,1907,9968604111,,,sol,,,,,M+G,,1907 (lettre à Georges Audigier),M,,G,
6,Janvier,,Mélodie,piano<br>soprano,,,Georges Audigier,janvier,1937,508115,A mon amie,,,,,,,@,manque,,,,,
7,Février,6,Mélodie,piano<br>soprano,1,5, Georges Audigier,fevrier,1937,508115,Lors j'ai révé ,,fa,,,,7_FEVRIER_manuscrit.pdf,M,M,Q p5,,,G,
8,Mars,4,Mélodie,piano<br>soprano,1,4, Georges Audigier,mars,1937,508115,Il fait encore bien froid,,fa,,,,8_MARS_manuscrit.pdf,M,M,,,,G,
9,Avril,,Mélodie,piano<br>soprano,,, Georges Audigier,avril,1937,508116,Je voudrais te donner,,,,,,,@,manque,,,M,,
10,Mai,,Ensemble vocal,piano<br>soprano,(4 voix),, Georges Audigier,mai,1928,508117,"Fini, déjà fini  (4 voix de soprano)  (février 1928)",,,,,,10_MAI_manuscrit.pdf,M,M,,,,G,
11,Juin,4,Mélodie,piano<br>soprano,1,4,Georges Audigier,juin,1916,201720,Mon jardin tout entier,,sol,P. Hurstel,,11_Juin_edite.pdf,,E,E,La version manuscrite et la version éditée diffèrent,,,,
11B,Juin,4,Mélodie,piano<br>soprano,1,4,Georges Audigier,juin,1916,508118,Mon jardin tout entier,,sol,,,,11_JUIN_manuscrit.pdf,2M,M,,,,,
12,Juillet,7,Mélodie,piano<br>soprano,1,6,Georges Audigier,juillet,1937,508118,Chaque flot de la mer,,sol-,,,,12_Juillet_manuscrit.pdf,2M,M,,,M,G,
13,Août,,Mélodie,piano<br>soprano,,, Georges Audigier,aout,1940,(sans n°),Le temps s'étonne lui,,,,,,,@,manque,,,,,
14,Septembre,3,Mélodie,piano<br>soprano,1,3, Georges Audigier,septembre,1922,508119,Souvenir m'embaumant ,,sol,,,,14_SEPTEMBRE_manuscrit.pdf,4M,M,,,,G,
15,Octobre,"3,5",Mélodie,piano<br>soprano,1,3, Georges Audigier,octobre,1922,508119,"Je suis las, mon amour",,fa,,,,,M,,,M,,G,
16,Novembre,6,Ensemble vocal,piano<br>soprano,(4 voix),5, Georges Audigier,novembre,1937,508120,Ah! je vieillis  (4 voix de soprano),,sol,,,,16_NOVEMBRE_manuscrit.pdf,2M,M,,,M,,G
